timestamp,model,category,tag,person,garment,gen_time_sec,wall_sec,cost_usd,cost_inr,within_speed,within_cost,output_path,error
2026-09-02T11:38:08+00:00,leffa,coat,,assets/persons/male.jpg,assets/garments/coat.jpg,7.08,19.26,0.00146,0.129,True,True,results\outputs\leffa__coat.png,
2026-09-02T10:51:34+00:00,leffa,coat-w,,assets/persons/female.jpg,assets/garments/extras/coat_women.jpg,6.86,13.64,0.00141,0.125,True,True,results\outputs\leffa__coat-w.png,
2026-09-02T11:37:28+00:00,leffa,jeans,,assets/persons/male.jpg,assets/garments/jeans.jpg,6.99,16.97,0.00144,0.127,True,True,results\outputs\leffa__jeans.png,
2026-09-02T10:49:51+00:00,leffa,jumpsuit,,assets/persons/female.jpg,assets/garments/jumpsuit.jpg,6.92,12.92,0.00142,0.126,True,True,results\outputs\leffa__jumpsuit.png,
2026-09-02T10:49:03+00:00,leffa,kurti,,assets/persons/female.jpg,assets/garments/kurti.jpg,6.84,15.13,0.00141,0.124,True,True,results\outputs\leffa__kurti.png,
2026-09-02T10:49:18+00:00,leffa,lehenga,,assets/persons/female.jpg,assets/garments/lehenga.jpg,6.85,20.69,0.00141,0.125,True,True,results\outputs\leffa__lehenga.png,
2026-09-02T10:48:15+00:00,leffa,saree,,assets/persons/female.jpg,assets/garments/saree.jpg,7.18,47.8,0.00148,0.131,True,True,results\outputs\leffa__saree.png,
2026-09-02T11:37:00+00:00,leffa,shirt,,assets/persons/male.jpg,assets/garments/shirt.jpg,7.14,28.05,0.00147,0.13,True,True,results\outputs\leffa__shirt.png,
2026-09-02T11:36:08+00:00,leffa,t-shirt,,assets/persons/male.jpg,assets/garments/t-shirt.jpg,7.95,51.51,0.00163,0.145,True,True,results\outputs\leffa__t-shirt.png,
2026-09-02T10:49:38+00:00,leffa,top,,assets/persons/female.jpg,assets/garments/top.jpg,6.84,12.99,0.00141,0.124,True,True,results\outputs\leffa__top.png,
2026-09-02T11:37:45+00:00,leffa,trousers,,assets/persons/male.jpg,assets/garments/trousers.jpg,6.95,23.14,0.00143,0.126,True,True,results\outputs\leffa__trousers.png,
